source_tweet,target_user,type
324105719001534465,@garrettgee,retweet
324111284847144960,@afowler06,mention
324111284847144960,@afowler06,retweet
324112132117512192,@team_world,mention
324112132117512192,@team_world,retweet
324128770908905473,@GabrielMacht,mention
324128770908905473,@GabrielMacht,retweet
324138099040980992,@YourAnonNews,mention
324138099040980992,@YourAnonNews,retweet
324138187100397568,@TheRock,mention
324138187100397568,@TheRock,retweet
324141173444849665,@sinchaasunshine,mention
324141173444849665,@sinchaasunshine,retweet
324141634818293760,@EmmittSmith22,mention
324141634818293760,@EmmittSmith22,retweet
324142373015781377,@EsmeraldaKiczek,mention
324142373015781377,@EsmeraldaKiczek,retweet
324143761342988288,@nprnews,mention
324143761342988288,@nprnews,retweet
324144176570724352,@MAlGhosoon,mention
324144176570724352,@MAlGhosoon,retweet
324144453390594049,@Jaredthecarrot,mention
324144453390594049,@Jaredthecarrot,retweet
324147586548248577,@3PennyMovies,mention
324147586548248577,@HuffPostCanada,mention
324153877991653379,@BuzzFeed,mention
324153877991653379,@BuzzFeed,retweet
324155304055037954,@centrepointuk,mention
324155304055037954,@centrepointuk,retweet
324166557368471553,@BostonMarathons,mention
324166557368471553,@BostonMarathons,retweet
324167417217564674,@RottenAppleTV,mention
324167417217564674,@RottenAppleTV,retweet
324170869150720000,@blackpumahat,mention
324170869150720000,@blackpumahat,retweet
324171716383371264,@DannyAmendola,mention
324171716383371264,@DannyAmendola,retweet
324174069371121665,@WeAreBruinsFans,mention
324174069371121665,@WeAreBruinsFans,retweet
324175336059314176,@dpshow,mention
324175336059314176,@dpshow,retweet
324180562166304769,@ryanpbroderick,mention
324180562166304769,@buzzf,mention
324180562166304769,@ryanpbroderick,retweet
324182755770523650,@kidrauhlavons,mention
324182755770523650,@kidrauhlavons,retweet
324183707898478593,@biggangVH1,mention
324183707898478593,@biggangVH1,retweet
324194076213788675,@CNN,mention
324203031040258048,@JoshDevineDrums,mention
324203031040258048,@JoshDevineDrums,retweet
324203626652389376,@JohnBeattieNESN,mention
324203626652389376,@JohnBeattieNESN,retweet
324206973715349504,@fenvirantiviral,mention
324206973715349504,@NBC6,mention
324206973715349504,@fenvirantiviral,retweet
324212082381836288,@fenvirantiviral,mention
324212082381836288,@NBC6,mention
324212082381836288,@fenvirantiviral,retweet
324215840461438976,@parkrun,mention
324215840461438976,@parkrun,retweet
324216666726744064,@DANILOMONTERO_,mention
324216666726744064,@TIME,mention
